Stay_ID,Check_In_Date,Customer_Type,Room_Type,Booking_Channel,Stay_Duration,Check_In_Rating,Room_Rating,Cleanliness_Rating,Staff_Service_Rating,Food_Beverage_Rating,Complaint_Category,Complaint_Resolved,Resolution_Time_Hours,Overall_Satisfaction,NPS_Category,Satisfaction_Category,Complaint_Flag,Returning_Customer_Flag,Low_Satisfaction_Flag,Month
STY-1207,2026-06-07,New,Deluxe,Direct Website,2,5,5,4,3,5,Billing Issue,Yes,9.6,4,Passive,Satisfied,Yes,0,0,Jun 2026
STY-1235,2026-06-07,Returning,Standard,Direct Website,5,4,3,5,5,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,1,0,Jun 2026
STY-1101,2026-06-07,New,Deluxe,OTA,1,5,3,3,5,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jun 2026
STY-1279,2026-06-07,New,Deluxe,Travel Agent,6,4,5,2,5,4,Room Cleanliness,Yes,2.8,3,Passive,Neutral,Yes,0,0,Jun 2026
STY-1286,2026-06-07,New,Standard,Direct Website,4,4,5,4,3,2,Slow Complaint Resolution,Yes,5.1,4,Promoter,Satisfied,Yes,0,0,Jun 2026
STY-1012,2026-06-08,New,Standard,Travel Agent,5,5,3,2,5,3,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jun 2026
STY-1164,2026-06-09,Returning,Standard,OTA,3,5,4,4,5,4,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,1,0,Jun 2026
STY-1104,2026-06-09,New,Standard,Direct Website,4,3,4,1,4,2,Room Cleanliness,Yes,10.5,3,Detractor,Neutral,Yes,0,0,Jun 2026
STY-1001,2026-06-11,Returning,Deluxe,Travel Agent,5,4,4,5,4,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,1,0,Jun 2026
STY-1109,2026-06-11,Returning,Standard,OTA,2,4,5,3,5,4,Room Cleanliness,Yes,3.6,4,Promoter,Satisfied,Yes,1,0,Jun 2026
STY-1007,2026-06-11,New,Standard,OTA,2,4,4,3,4,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jun 2026
STY-1148,2026-06-11,New,Standard,OTA,2,4,5,5,3,3,Food Quality,Yes,3.1,4,Passive,Satisfied,Yes,0,0,Jun 2026
STY-1232,2026-06-12,New,Deluxe,OTA,3,4,4,4,4,3,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,0,0,Jun 2026
STY-1013,2026-06-12,Returning,Standard,Direct Website,2,5,4,4,4,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,1,0,Jun 2026
STY-1202,2026-06-12,New,Deluxe,Direct Website,2,1,3,5,5,5,Check-in Delay,Yes,0.9,4,Passive,Satisfied,Yes,0,0,Jun 2026
STY-1102,2026-06-12,Returning,Standard,Walk-in,4,5,4,5,4,5,Billing Issue,Yes,6.3,5,Promoter,Satisfied,Yes,1,0,Jun 2026
STY-1054,2026-06-12,New,Standard,Travel Agent,1,5,4,3,4,5,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,0,0,Jun 2026
STY-1059,2026-06-14,Returning,Deluxe,OTA,3,3,4,4,4,4,Check-in Delay,Yes,5.1,3,Detractor,Neutral,Yes,1,0,Jun 2026
STY-1004,2026-06-15,New,Standard,OTA,2,3,4,2,5,4,Room Cleanliness,Yes,5.7,3,Detractor,Neutral,Yes,0,0,Jun 2026
STY-1030,2026-06-16,New,Suite,Direct Website,6,3,4,4,5,3,Check-in Delay,No,5.2,3,Detractor,Neutral,Yes,0,0,Jun 2026
STY-1135,2026-06-16,Returning,Standard,OTA,2,4,3,5,5,3,Slow Complaint Resolution,Yes,2.9,4,Promoter,Satisfied,Yes,1,0,Jun 2026
STY-1259,2026-06-17,New,Standard,Walk-in,4,4,3,1,5,4,Room Cleanliness,Yes,2.1,2,Detractor,Dissatisfied,Yes,0,1,Jun 2026
STY-1240,2026-06-18,Returning,Standard,OTA,2,5,3,3,5,4,Slow Complaint Resolution,Yes,2.8,4,Passive,Satisfied,Yes,1,0,Jun 2026
STY-1070,2026-06-19,Returning,Standard,Walk-in,2,3,3,4,3,5,Staff Behaviour,No,16.2,2,Detractor,Dissatisfied,Yes,1,1,Jun 2026
STY-1049,2026-06-19,New,Standard,Direct Website,3,3,5,3,3,5,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jun 2026
STY-1268,2026-06-19,New,Deluxe,OTA,4,5,4,5,4,3,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jun 2026
STY-1211,2026-06-20,Returning,Standard,OTA,1,4,4,4,4,3,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,1,0,Jun 2026
STY-1234,2026-06-20,New,Deluxe,Direct Website,1,1,3,3,4,3,Check-in Delay,Yes,2.6,3,Passive,Neutral,Yes,0,0,Jun 2026
STY-1231,2026-06-21,New,Standard,Direct Website,4,4,4,4,4,3,No Complaint,Not Applicable,0.0,3,Passive,Neutral,No,0,0,Jun 2026
STY-1165,2026-06-21,New,Suite,OTA,4,3,4,4,4,4,Billing Issue,Yes,2.2,3,Detractor,Neutral,Yes,0,0,Jun 2026
STY-1167,2026-06-21,New,Deluxe,OTA,4,4,2,4,3,4,Room Maintenance,No,5.7,2,Detractor,Dissatisfied,Yes,0,1,Jun 2026
STY-1156,2026-06-21,New,Suite,Direct Website,4,4,4,5,5,3,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jun 2026
STY-1163,2026-06-21,Returning,Standard,OTA,4,4,4,4,5,3,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,1,0,Jun 2026
STY-1213,2026-06-21,Returning,Standard,OTA,3,4,4,3,3,3,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,1,0,Jun 2026
STY-1255,2026-06-23,New,Standard,Direct Website,4,4,4,4,2,3,Staff Behaviour,No,12.3,1,Detractor,Dissatisfied,Yes,0,1,Jun 2026
STY-1183,2026-06-24,Returning,Deluxe,OTA,3,3,4,4,3,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,1,0,Jun 2026
STY-1146,2026-06-24,New,Standard,Travel Agent,2,4,5,4,5,4,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jun 2026
STY-1229,2026-06-24,New,Deluxe,Walk-in,3,3,4,3,4,4,No Complaint,Not Applicable,0.0,3,Passive,Neutral,No,0,0,Jun 2026
STY-1277,2026-06-25,New,Standard,Direct Website,5,5,4,2,5,4,Room Cleanliness,Yes,3.4,4,Promoter,Satisfied,Yes,0,0,Jun 2026
STY-1011,2026-06-25,New,Standard,Direct Website,6,4,3,4,4,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jun 2026
STY-1154,2026-06-26,New,Deluxe,Direct Website,2,4,3,3,5,4,Room Maintenance,Yes,2.3,4,Passive,Satisfied,Yes,0,0,Jun 2026
STY-1256,2026-06-27,New,Deluxe,Direct Website,5,4,2,5,4,4,Room Maintenance,Yes,2.8,4,Promoter,Satisfied,Yes,0,0,Jun 2026
STY-1227,2026-06-28,Returning,Deluxe,OTA,3,3,5,5,4,3,Check-in Delay,Yes,5.6,4,Promoter,Satisfied,Yes,1,0,Jun 2026
STY-1143,2026-06-29,Returning,Deluxe,Direct Website,4,3,4,3,4,4,No Complaint,Not Applicable,0.0,3,Passive,Neutral,No,1,0,Jun 2026
STY-1145,2026-06-29,New,Suite,OTA,2,4,5,5,4,4,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jun 2026
STY-1008,2026-06-30,New,Standard,OTA,2,5,4,4,4,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,0,0,Jun 2026
STY-1178,2026-07-01,New,Standard,Travel Agent,3,4,4,2,3,3,Check-in Delay,Yes,2.4,3,Passive,Neutral,Yes,0,0,Jul 2026
STY-1089,2026-07-01,Returning,Suite,Travel Agent,4,4,4,4,4,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,1,0,Jul 2026
STY-1280,2026-07-02,New,Standard,Travel Agent,3,4,4,3,3,5,Staff Behaviour,Yes,1.6,4,Promoter,Satisfied,Yes,0,0,Jul 2026
STY-1188,2026-07-02,New,Standard,Walk-in,7,4,4,4,4,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1073,2026-07-02,New,Deluxe,Walk-in,2,3,5,4,4,3,Food Quality,No,3.0,3,Detractor,Neutral,Yes,0,0,Jul 2026
STY-1115,2026-07-02,Returning,Deluxe,OTA,5,5,3,4,4,5,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,1,0,Jul 2026
STY-1174,2026-07-04,New,Standard,Direct Website,1,4,3,3,4,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1199,2026-07-06,New,Deluxe,Direct Website,2,4,5,4,3,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1253,2026-07-06,New,Standard,Direct Website,3,5,4,4,5,5,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jul 2026
STY-1140,2026-07-06,New,Standard,Direct Website,1,5,4,4,5,2,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1249,2026-07-06,New,Deluxe,Direct Website,3,4,4,3,4,2,Food Quality,Yes,2.3,3,Detractor,Neutral,Yes,0,0,Jul 2026
STY-1239,2026-07-06,Returning,Deluxe,OTA,1,4,2,4,5,4,Room Maintenance,Yes,2.8,3,Detractor,Neutral,Yes,1,0,Jul 2026
STY-1203,2026-07-07,New,Deluxe,Direct Website,2,4,4,5,5,4,Slow Complaint Resolution,No,3.0,3,Passive,Neutral,Yes,0,0,Jul 2026
STY-1082,2026-07-07,New,Standard,Direct Website,3,4,5,5,5,3,No Complaint,Not Applicable,0.0,3,Passive,Neutral,No,0,0,Jul 2026
STY-1172,2026-07-07,Returning,Standard,Walk-in,4,3,5,4,5,5,Billing Issue,Yes,2.2,4,Promoter,Satisfied,Yes,1,0,Jul 2026
STY-1215,2026-07-07,Returning,Standard,Travel Agent,4,3,5,4,2,4,Staff Behaviour,Yes,1.2,3,Detractor,Neutral,Yes,1,0,Jul 2026
STY-1142,2026-07-07,New,Suite,Travel Agent,2,3,4,4,4,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,0,0,Jul 2026
STY-1175,2026-07-08,Returning,Standard,Direct Website,1,4,5,4,4,4,No Complaint,Not Applicable,0.0,3,Passive,Neutral,No,1,0,Jul 2026
STY-1169,2026-07-08,New,Standard,Direct Website,2,5,4,3,5,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,0,0,Jul 2026
STY-1046,2026-07-08,New,Standard,Travel Agent,5,4,5,4,4,2,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1021,2026-07-08,New,Deluxe,Direct Website,3,4,4,5,5,5,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jul 2026
STY-1161,2026-07-08,Returning,Deluxe,OTA,3,5,5,4,5,3,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,1,0,Jul 2026
STY-1223,2026-07-09,Returning,Standard,OTA,3,3,4,4,5,3,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,1,0,Jul 2026
STY-1105,2026-07-09,Returning,Deluxe,OTA,3,4,2,5,4,3,Food Quality,Yes,7.4,3,Detractor,Neutral,Yes,1,0,Jul 2026
STY-1015,2026-07-09,New,Standard,Direct Website,2,4,4,3,4,4,Room Cleanliness,Yes,5.5,3,Passive,Neutral,Yes,0,0,Jul 2026
STY-1033,2026-07-09,Returning,Standard,Travel Agent,1,5,4,4,5,4,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,1,0,Jul 2026
STY-1162,2026-07-09,New,Deluxe,OTA,2,3,4,4,5,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1055,2026-07-10,Returning,Deluxe,Walk-in,2,4,5,3,5,4,Room Cleanliness,Yes,14.4,3,Passive,Neutral,Yes,1,0,Jul 2026
STY-1039,2026-07-10,New,Standard,OTA,7,3,4,4,4,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1120,2026-07-10,New,Deluxe,OTA,3,4,4,4,4,3,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,0,0,Jul 2026
STY-1057,2026-07-12,New,Deluxe,Travel Agent,4,5,5,5,5,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,0,0,Jul 2026
STY-1132,2026-07-12,New,Standard,OTA,5,3,5,5,4,4,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jul 2026
STY-1093,2026-07-13,Returning,Deluxe,OTA,4,5,3,4,4,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,1,0,Jul 2026
STY-1251,2026-07-13,New,Suite,OTA,3,5,5,5,4,5,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1035,2026-07-13,New,Deluxe,OTA,2,5,4,4,4,5,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1083,2026-07-14,New,Standard,Travel Agent,1,5,4,4,5,2,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jul 2026
STY-1250,2026-07-14,New,Deluxe,Travel Agent,2,4,5,2,4,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,0,0,Jul 2026
STY-1087,2026-07-14,New,Suite,OTA,3,4,3,5,4,2,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1111,2026-07-15,Returning,Standard,OTA,4,4,3,2,4,4,Room Maintenance,Yes,0.5,3,Detractor,Neutral,Yes,1,0,Jul 2026
STY-1149,2026-07-15,New,Deluxe,Walk-in,2,4,3,5,5,4,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jul 2026
STY-1085,2026-07-17,New,Standard,OTA,4,4,4,3,5,5,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jul 2026
STY-1185,2026-07-17,Returning,Suite,OTA,2,4,5,3,5,3,Room Cleanliness,Yes,2.4,4,Promoter,Satisfied,Yes,1,0,Jul 2026
STY-1217,2026-07-18,New,Standard,OTA,1,4,4,3,4,2,Food Quality,Yes,5.3,3,Detractor,Neutral,Yes,0,0,Jul 2026
STY-1245,2026-07-20,New,Standard,OTA,3,3,4,5,5,3,Slow Complaint Resolution,No,21.0,2,Detractor,Dissatisfied,Yes,0,1,Jul 2026
STY-1108,2026-07-20,Returning,Deluxe,OTA,2,2,5,3,4,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,1,0,Jul 2026
STY-1122,2026-07-21,New,Standard,OTA,2,3,3,2,4,4,Room Cleanliness,No,17.4,2,Detractor,Dissatisfied,Yes,0,1,Jul 2026
STY-1209,2026-07-22,New,Standard,OTA,4,2,5,3,3,5,Check-in Delay,Yes,2.5,3,Passive,Neutral,Yes,0,0,Jul 2026
STY-1186,2026-07-22,Returning,Suite,OTA,6,4,4,4,4,5,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,1,0,Jul 2026
STY-1179,2026-07-23,Returning,Deluxe,OTA,4,2,3,3,5,4,Room Maintenance,Yes,1.6,3,Detractor,Neutral,Yes,1,0,Jul 2026
STY-1252,2026-07-23,New,Standard,OTA,3,4,3,3,4,3,Food Quality,Yes,6.3,3,Passive,Neutral,Yes,0,0,Jul 2026
STY-1062,2026-07-24,New,Standard,OTA,3,5,4,4,5,3,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jul 2026
STY-1238,2026-07-24,Returning,Standard,Direct Website,1,2,4,4,3,4,Check-in Delay,Yes,3.3,3,Passive,Neutral,Yes,1,0,Jul 2026
STY-1193,2026-07-25,New,Deluxe,OTA,1,5,3,2,4,3,Room Cleanliness,No,14.7,1,Detractor,Dissatisfied,Yes,0,1,Jul 2026
STY-1195,2026-07-25,Returning,Deluxe,OTA,3,2,4,5,5,4,Check-in Delay,Yes,5.1,4,Promoter,Satisfied,Yes,1,0,Jul 2026
STY-1173,2026-07-25,Returning,Deluxe,Direct Website,2,4,4,5,4,2,Food Quality,No,7.9,3,Detractor,Neutral,Yes,1,0,Jul 2026
STY-1271,2026-07-25,Returning,Standard,Travel Agent,4,4,5,4,5,3,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,1,0,Jul 2026
STY-1221,2026-07-25,New,Standard,OTA,3,5,5,5,5,4,Billing Issue,Yes,2.7,4,Passive,Satisfied,Yes,0,0,Jul 2026
STY-1248,2026-07-26,New,Deluxe,OTA,3,2,3,4,4,4,Check-in Delay,Yes,5.6,3,Passive,Neutral,Yes,0,0,Jul 2026
STY-1192,2026-07-26,New,Deluxe,Direct Website,5,4,3,5,4,4,Room Maintenance,Yes,6.2,4,Passive,Satisfied,Yes,0,0,Jul 2026
STY-1196,2026-07-26,Returning,Deluxe,Walk-in,2,5,4,4,4,5,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,1,0,Jul 2026
STY-1224,2026-07-26,New,Deluxe,OTA,1,3,5,5,4,5,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,0,0,Jul 2026
STY-1016,2026-07-28,New,Deluxe,Direct Website,3,4,5,3,4,4,Slow Complaint Resolution,Yes,4.3,3,Passive,Neutral,Yes,0,0,Jul 2026
STY-1098,2026-07-29,Returning,Deluxe,Walk-in,2,4,3,4,4,4,No Complaint,Not Applicable,0.0,4,Passive,Satisfied,No,1,0,Jul 2026
STY-1205,2026-07-29,New,Deluxe,Travel Agent,3,4,4,5,4,3,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jul 2026
STY-1121,2026-07-29,New,Deluxe,Direct Website,4,4,3,5,4,4,Room Maintenance,Yes,2.1,4,Passive,Satisfied,Yes,0,0,Jul 2026
STY-1014,2026-07-30,New,Standard,OTA,2,4,2,3,4,3,Room Maintenance,No,22.9,1,Detractor,Dissatisfied,Yes,0,1,Jul 2026
STY-1228,2026-07-30,Returning,Deluxe,OTA,6,3,3,5,5,4,No Complaint,Not Applicable,0.0,4,Promoter,Satisfied,No,1,0,Jul 2026
STY-1152,2026-07-30,New,Standard,Direct Website,2,5,3,4,5,4,Room Maintenance,Yes,12.0,4,Promoter,Satisfied,Yes,0,0,Jul 2026
STY-1225,2026-07-30,New,Deluxe,OTA,4,4,5,5,4,4,No Complaint,Not Applicable,0.0,5,Promoter,Satisfied,No,0,0,Jul 2026
STY-1236,2026-07-31,Returning,Standard,Direct Website,2,5,4,3,3,3,No Complaint,Not Applicable,0.0,3,Passive,Neutral,No,1,0,Jul 2026
